date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:03	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG3.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG3.33.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:04	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG4.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG4.34.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:04	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG7.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG7.35.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:04	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG8.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG8.36.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:04	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG9.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG9.37.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:05	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG10.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG10.38.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:05	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG11.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG11.39.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:05	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG12.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG12.3a.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:05	1532556/1532556	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/mira2.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/mira2.js	(from http://10.1.1.1/900NA.html)
13:25:05	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG13.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG13.3b.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:06	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG15.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG15.3c.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:06	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG16.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG16.3d.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:06	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG17.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG17.3e.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:06	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG18.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG18.3f.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:07	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG19.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG19.40.delayed	(from http://10.1.1.1/Hakkuraifu.html)
13:25:07	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG20.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG20.41.delayed	(from http://10.1.1.1/Hakkuraifu.html)
